entidad,entidad_departamento,descripcion_item,monto_referencial_item_soles,monto_adjudicado_item_soles,diferencia_pct_cap,dias_proceso,proveedor
FUERZA AEREA DEL PERU,LIMA,ITEM61,2268.6,7758.61,241.99991183990127,34,"KOREA AEROSPACE INDUSTRIES, LTD"
CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,LIMA,DOXORUBICINA 50 mg INY,159000.0,539540.0,239.33333333333334,45,PERULAB SA
CORTE SUPERIOR DE JUSTICIA DE AREQUIPA,AREQUIPA,SERVICIO DE ARRENDAMIENTO DE INMUEBLE PARA EL FUNCIONAMIENTO DEL ARCHIVO III DE LA CORTE SUPERIOR DE JUSTICIA DE AREQUIPA,78000.0,264000.0,238.46153846153845,1,CALISAYA ASTETE JOHN FOSTER
MUNICIPALIDAD DISTRITAL DE HUASMIN,CAJAMARCA,"ADQUISICION DE HOJUELAS PRECOCIDAS DE KIWICHA, QUINUA, SOYA, CEBADA CON MACA, ENRIQUECIDA CON VITAMINAS Y MINERALES EN EL DISTRITO DE HUASMIN - CELENDIN - CAJAMARCA",266576.17,899800.0,237.5395482649481,14,REPRESENTACIONES INDUSTRIAL DEL NORTE EIRL
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,KIT DE EXTRACCION DE ADN X 250 DETERMINACIONES,1000.0,3355.47,235.547,34,GEN LAB DEL PERU S.A.C.
PROGRAMA DE DESARROLLO DE SANIDAD AGROPECUARIA,LIMA,LENTES DE POLICARBONATO TIPO STINGRAYS CLARO,55318.4,184355.6,233.26271186440678,70,KA 'LINSON PERU S.A.C.
UNIVERSIDAD NACIONAL SAN AGUSTIN,AREQUIPA,EQUIPOS ANALIZADORES DIVERSOS,135790.82,449331.36,230.89965875454612,99,SUMINISTROS DE LABORATORIO KASALAB S.A.C.
GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,CUSCO,"ADQUISICION DE TUBERIA DE COBRE TIPO L PARA EL PROYECTO: ""MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE SALUD DEL ESTABLECIMIENTO DE SALUD DE BELEMPAMPA - DISTRITO DE SANTIAGO - PROVINCIA DE CUSCO - REGION CUSCO""",196150.25,646834.8,229.76496333805335,57,INDUSTRIAS CONCRETERAS JOSE DAVID E.I.R.L.
AUTORIDAD NACIONAL DE INFRAESTRUCTURA,LIMA,"SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL SISTEMA HVAC DEL HOSPITAL DE APOYO YUNGAY II-1, UBICADO EN EL DISTRITO DE YUNGAY, PROVINCIA DE YUNGAY, DEPARTAMENTO DE ANCASH¿, PARA LA SUBDIRECCI¿N DE MANTENIMIENTO DE EQUIPAMIENTO Y RECURSOS MOB",120000.0,388860.0,224.04999999999998,29,SISTEMA DE CLIMATIZACION Y REFRIGERACION S.A.C.
GOBIERNO REGIONAL DE MADRE DE DIOS - HOSPITAL SANTA ROSA DE PUERTO MALDONADO,MADRE DE DIOS,SOLUCIONES SALINAS,92400.0,298272.0,222.8051948051948,26,MEDIFARMA S A
CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,LIMA,VENDA DE YESO CON GASA DE ALGODON DE 6 in X 5 yd PARA ESTABILIZACION DE FRACTURAS,174771.57,561113.7,221.05547830233485,95,LABORATORIOS AMERICANOS S.A.
GOBIERNO REGIONAL DE APURIMAC-TRANSPORTES APURIMAC,APURIMAC,CONTRATACI¿N DE SERVICIO DE ALQUILER DE CAMION CISTERNA ¿ MAQUINA SERVIDA PARA EL PROYECTO MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD DE LA RUTA YACA-OCOBAMBA -TACCACCA-RUNAHUA¿USCCA DE LOS DISTRITOS DE CIRCA Y CHUQUIBAMBILLA DE LAS PROVINCIAS DE A,89333.33,285440.0,219.52239998217905,27,CORPORACION BELMOR S.A.C.
GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,PUNO,ADQUISICION DE ELECTROBOMBAS CENTRIFUGAS Y TABLEROS ATERNADORES DE BOMBAS TRIFASICAS INCLUYE INSTALACION,72600.0,230000.0,216.8044077134986,73,4G CONSULTORES Y CONSTRUCTORES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,M¿dulo de ligaci¿n r¿pida,1000.0,3150.0,215.0,32,BIOTECNOLOGY LATINA S.R.L.
COMISION DE PROMOCION DEL PERU PARA LA EXPORTACION Y EL TURISMO - PROMPERU,LIMA,SERVICIO DE OPERADOR TUR¿STICO PARA LA RUEDA DE NEGOCIOS PER¿ MODA & PER¿ MODA DECO,146193.0,459700.0,214.44734015992557,18,CONSORCIO PERUVISION GROUP Y REMANDO SAC
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,PAQUETE N¿05,4250.0,13352.24,214.17035294117647,32,BIOTECNOMICA S.A.C.
CENTRO NACIONAL DE ABASTECIMIENTO DE RECURSOS ESTRATEGICOS EN SALUD,LIMA,VENDA DE YESO CON GASA DE ALGODON DE 4 in X 5 yd PARA ESTABILIZACION DE FRACTURAS,134283.8,415803.45,209.64528111358186,95,TAGUMEDICA S.A.
MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO,SERVICIO DE POLIZA DE SEGURO COMPLEMENTARIO DE RIESGO DE SCTR (SALUD),168142.08,518047.85,208.10124984774782,42,SANITAS PERU S.A. - EPS
IAFAS DEL EJERCITO DEL PERU (FOSPEME),LIMA,VALSARTAN + AMLODIPINO  160 mg + 5 mg TB,117600.0,360000.0,206.1224489795918,15,GRUPO KMEDIC E.I.R.L
SERVICIO MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE CHINCHA S.A.,ICA,GASOHOL REGULAR,68800.0,209700.0,204.796511627907,15,SERVICENTRO ORDESUR S.A.C.
UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS,ULTRACONGELADORA,38333.33,115000.0,200.00002608695877,35,AMERICAN HOSPITAL SCIENTIFIC EQUIPMENT COMPANY DEL PERU S.A.
